protein,carb,fat,sugar,fiber,age_group,label,glycemic_index,eco_score
41.64,346.91,57.64,34.37,35.34,15-20,ok,68.55,40.65
72.61,261.79,82.45,22.88,21.8,10-15,ok,64.0,65.25
76.0,241.04,134.77,23.14,22.63,20-25,ok,85.69,60.1
60.95,235.99,54.01,17.6,36.38,30-35,ok,41.32,47.39
43.02,323.92,74.8,47.98,23.61,30-35,ok,75.28,65.7
60.78,338.52,67.36,19.3,25.54,35-40,ok,75.12,100.0
36.32,286.75,64.74,30.04,28.06,15-20,ok,51.27,47.41
52.21,318.7,136.26,53.16,7.02,20-25,bad,67.82,64.56
28.52,286.64,85.54,36.07,14.27,45-50,ok,96.97,80.13
36.42,241.54,52.33,39.38,31.07,35-40,ok,90.07,53.69
53.05,372.6,100.39,45.48,23.05,10-15,ok,56.13,52.33
39.84,258.5,128.18,65.3,17.0,25-30,bad,61.07,65.2
43.56,329.37,82.17,24.07,27.8,35-40,ok,76.88,59.35
70.94,313.99,47.64,11.46,25.47,40-45,ok,68.44,65.75
41.06,337.92,63.43,19.1,20.23,30-35,ok,86.31,76.63
44.31,391.16,106.5,33.45,15.43,45-50,ok,80.17,45.57
43.82,262.22,59.47,19.89,27.95,10-15,ok,100.0,48.86
61.93,238.88,103.18,7.66,8.36,15-20,ok,71.07,100.0
25.57,326.63,97.78,71.98,17.97,30-35,bad,68.4,72.35
71.51,320.24,67.67,47.64,24.67,40-45,ok,53.58,54.1
61.07,347.04,80.02,27.54,28.85,35-40,ok,66.12,52.39
26.17,279.72,51.04,42.43,16.8,35-40,ok,49.37,39.68
41.92,364.17,72.52,5.1,20.65,20-25,ok,82.74,28.03
37.64,321.06,81.65,63.7,37.9,40-45,bad,57.14,69.02
60.26,252.21,33.21,41.81,31.27,25-30,ok,66.68,72.81
52.27,282.02,48.97,26.35,11.9,10-15,ok,68.64,68.89
58.25,297.21,59.15,31.26,29.79,10-15,ok,61.48,94.44
23.44,304.32,90.35,55.93,13.58,10-15,bad,69.84,55.96
56.66,244.58,43.48,30.94,17.45,25-30,ok,72.63,85.17
82.94,326.81,74.14,33.93,4.28,30-35,ok,61.76,79.79
50.75,287.95,62.24,29.81,31.21,25-30,ok,50.6,48.22
69.72,257.99,75.96,8.67,24.28,30-35,ok,39.28,60.45
53.36,274.72,106.25,20.54,21.48,35-40,ok,100.0,51.68
51.35,274.65,51.47,23.52,23.44,45-50,ok,48.46,48.54
75.71,166.99,73.79,11.12,26.31,20-25,ok,37.8,47.71
23.7,273.81,114.04,64.14,16.62,45-50,bad,49.37,40.65
0.0,289.74,119.66,82.86,5.83,45-50,bad,65.98,59.24
28.49,146.56,46.62,52.67,22.97,20-25,bad,58.8,81.09
63.42,269.32,58.26,14.34,20.03,15-20,ok,56.08,30.56
64.54,427.88,63.65,24.59,28.34,45-50,ok,72.05,72.0
22.95,227.84,142.67,55.08,17.53,10-15,bad,71.5,71.74
22.44,315.49,114.69,55.32,7.29,25-30,bad,68.62,93.21
63.43,322.85,68.62,8.19,20.1,15-20,ok,47.25,24.62
76.5,321.13,94.05,24.68,17.67,45-50,ok,57.45,67.56
35.69,212.48,129.9,43.73,1.92,45-50,bad,73.32,99.24
16.86,216.74,54.98,24.3,31.17,45-50,ok,81.17,33.44
37.12,263.14,99.74,48.04,29.01,45-50,bad,62.29,43.73
58.39,208.48,62.87,18.95,13.16,30-35,ok,89.81,69.82
70.88,239.8,89.61,27.15,31.13,25-30,ok,44.99,35.02
45.11,186.64,75.58,21.75,31.33,10-15,ok,84.77,65.45
29.19,290.75,97.05,66.0,21.03,25-30,bad,79.95,56.05
19.23,298.32,109.92,59.98,12.54,10-15,bad,67.11,65.45
33.63,310.87,88.28,28.68,28.64,15-20,ok,41.57,52.51
19.83,299.12,30.68,26.49,25.41,25-30,ok,48.3,81.5
50.91,223.07,92.32,32.96,22.13,40-45,ok,74.55,49.02
72.72,353.07,84.02,23.96,36.11,30-35,ok,60.68,77.39
60.06,379.71,54.95,40.65,27.1,40-45,ok,68.29,82.65
47.49,265.53,115.54,44.79,7.01,10-15,bad,49.5,79.97
52.57,276.71,65.19,35.05,18.78,10-15,ok,95.94,55.13
79.07,301.0,89.34,6.1,28.05,35-40,ok,62.62,50.96
59.36,252.45,94.08,0.0,19.3,25-30,ok,42.92,73.37
64.51,283.31,86.49,47.06,44.38,20-25,ok,44.22,74.21
17.71,335.72,149.86,48.07,12.86,40-45,bad,69.27,72.55
51.79,291.28,44.87,10.03,21.16,30-35,ok,71.24,73.18
61.38,275.3,80.15,21.28,31.52,10-15,ok,64.0,79.86
64.29,260.63,105.27,36.31,7.27,10-15,ok,100.0,68.28
67.29,240.02,68.07,2.58,16.28,30-35,ok,68.31,46.11
9.21,281.0,129.84,61.47,8.61,10-15,bad,50.2,47.48
19.92,254.19,148.59,46.35,29.0,40-45,bad,53.03,76.16
52.48,338.86,58.13,16.67,20.96,10-15,ok,54.51,55.55
44.88,349.98,79.36,41.79,26.01,30-35,bad,58.68,40.94
48.16,280.44,82.17,9.97,33.24,35-40,ok,56.89,39.03
28.4,288.64,109.84,45.74,21.57,10-15,bad,63.35,67.03
37.68,269.56,81.63,49.43,15.53,20-25,bad,79.92,79.73
7.53,226.04,127.56,47.52,17.51,20-25,bad,53.6,56.12
48.63,203.06,92.16,32.6,17.84,45-50,ok,77.21,57.9
7.16,343.11,114.99,38.24,9.18,20-25,bad,81.63,77.79
39.01,311.28,82.93,23.26,47.42,15-20,ok,72.23,56.84
68.34,276.81,82.26,30.74,19.92,35-40,ok,100.0,43.78
41.09,334.05,51.51,14.3,28.59,40-45,ok,51.44,45.36
52.41,335.47,85.48,5.63,20.91,15-20,ok,49.86,69.3
47.38,256.12,95.7,31.39,28.73,45-50,ok,45.35,15.72
51.44,323.27,77.59,43.81,41.89,40-45,ok,77.86,61.75
5.14,267.71,81.31,48.03,31.19,10-15,bad,60.18,65.23
20.52,267.8,114.33,63.46,25.28,10-15,bad,62.19,0.0
64.46,295.25,72.5,33.81,21.99,35-40,ok,52.76,75.16
42.18,307.09,85.15,42.43,28.94,25-30,ok,54.73,37.87
77.88,275.67,73.12,24.33,30.48,10-15,ok,71.39,81.11
33.33,208.81,74.07,13.93,16.94,10-15,ok,56.04,67.46
47.7,191.46,112.17,9.6,16.81,10-15,ok,59.07,11.04
28.65,304.95,152.18,54.53,14.49,10-15,bad,29.94,46.11
20.65,265.01,110.48,55.99,14.78,25-30,bad,64.55,78.33
71.84,258.69,50.25,1.57,26.99,45-50,ok,44.15,76.25
48.03,256.19,69.17,10.63,38.02,35-40,ok,38.67,55.43
32.61,240.13,62.06,19.55,37.41,40-45,ok,78.14,44.66
43.64,125.56,73.1,19.8,18.81,40-45,ok,41.81,63.95
63.34,342.52,68.77,16.71,24.21,35-40,ok,86.24,93.38
68.41,356.94,60.6,38.36,14.97,45-50,ok,44.63,89.53
61.57,392.39,92.94,55.04,14.72,25-30,bad,77.45,52.58
32.57,209.35,83.09,18.19,32.9,25-30,ok,44.54,55.95
47.75,270.79,52.15,12.93,24.85,25-30,ok,60.29,38.24
17.52,318.24,96.07,32.09,35.69,45-50,ok,85.54,56.23
37.94,330.88,35.03,27.57,28.92,40-45,ok,65.24,68.38
46.09,280.14,60.12,36.26,28.28,10-15,ok,70.9,74.55
56.05,196.1,84.38,26.29,18.23,15-20,ok,77.89,66.96
62.29,261.04,60.54,20.24,10.84,10-15,ok,59.96,49.99
42.04,158.6,80.31,5.18,28.23,10-15,ok,64.84,52.09
54.08,291.19,93.91,36.75,16.44,10-15,ok,60.13,96.76
45.88,252.0,121.53,66.71,23.95,10-15,bad,38.18,71.81
28.48,277.36,138.18,53.18,9.14,35-40,bad,87.94,46.36
61.29,264.26,61.58,36.64,16.84,10-15,ok,56.17,55.59
46.94,230.43,77.36,28.69,23.87,25-30,ok,51.3,48.04
43.16,306.61,98.47,17.14,24.21,25-30,ok,68.33,86.9
30.76,272.27,89.55,36.9,21.13,45-50,ok,86.13,40.05
68.77,235.88,61.63,15.22,22.64,30-35,ok,62.7,55.54
28.15,297.25,61.19,31.52,32.44,40-45,ok,54.28,29.29
36.59,336.29,90.59,31.65,14.74,20-25,bad,86.3,60.32
52.18,228.3,133.79,61.08,14.53,20-25,bad,61.52,90.82
38.64,242.34,30.39,32.14,23.25,35-40,ok,42.56,80.24
38.18,330.25,65.89,36.42,26.66,35-40,ok,61.6,94.12
67.76,251.22,151.74,49.85,11.76,10-15,bad,70.74,49.64
47.51,300.18,64.58,6.11,32.54,45-50,ok,51.89,60.92
44.66,312.98,92.31,51.94,22.97,10-15,bad,67.59,45.7
19.2,256.96,80.31,69.61,0.0,10-15,bad,83.64,23.17
48.62,372.21,90.82,14.5,38.62,15-20,ok,67.55,83.07
55.02,324.86,82.06,33.48,27.81,35-40,ok,65.42,75.75
42.47,217.72,159.62,54.44,27.99,35-40,bad,72.11,18.13
20.93,348.12,53.33,35.89,23.53,20-25,ok,55.11,58.37
59.46,311.45,60.93,30.33,28.23,35-40,ok,64.22,96.37
24.43,244.49,65.08,40.04,19.64,15-20,ok,72.19,51.78
53.6,327.38,60.08,11.2,18.62,45-50,ok,58.68,82.7
44.57,290.42,74.92,26.88,34.36,40-45,ok,86.45,59.74
33.42,186.86,77.43,14.02,25.47,10-15,ok,68.5,38.98
41.3,237.55,62.41,27.43,18.54,40-45,ok,47.14,100.0
63.72,206.01,100.15,13.21,32.87,20-25,ok,72.24,61.94
58.42,262.06,67.51,29.29,31.86,40-45,ok,50.95,33.29
47.65,283.64,74.81,36.6,27.21,15-20,ok,77.74,48.43
68.75,258.41,57.26,29.33,29.51,35-40,ok,72.43,48.97
34.35,232.5,70.07,25.08,21.49,15-20,ok,93.84,61.08
75.98,232.71,82.25,26.5,18.37,35-40,ok,54.47,49.47
29.6,287.1,107.14,23.27,9.22,35-40,ok,65.69,48.6
52.99,300.3,49.36,18.45,35.88,20-25,ok,56.06,76.59
49.45,180.52,67.57,19.95,28.98,10-15,ok,55.22,44.78
37.68,199.71,105.3,41.39,22.97,40-45,bad,40.46,36.81
45.84,203.0,63.29,17.07,28.47,25-30,ok,79.61,69.55
31.09,358.39,62.56,26.47,35.9,20-25,ok,85.21,46.67
41.89,221.17,104.29,43.35,34.99,35-40,bad,68.24,34.55
69.01,181.8,51.61,25.07,19.96,25-30,ok,76.34,37.55
23.4,343.74,74.11,16.69,28.75,35-40,ok,36.22,11.63
27.78,260.49,63.56,28.06,28.64,10-15,ok,54.87,52.67
45.63,318.39,56.05,25.13,21.46,25-30,ok,63.04,74.61
71.03,325.8,67.08,15.01,43.29,35-40,ok,45.25,27.62
37.81,255.79,90.0,40.95,13.12,30-35,ok,76.0,65.65
28.58,349.6,76.95,29.49,19.84,15-20,ok,82.64,29.44
48.7,253.5,78.62,11.26,19.37,35-40,ok,52.36,87.1
47.91,300.7,85.72,44.89,24.53,10-15,ok,63.48,49.73
43.59,334.5,84.12,58.12,0.45,15-20,bad,84.21,77.03
38.5,293.97,102.9,56.11,15.93,25-30,bad,73.18,62.94
26.03,330.29,113.11,41.93,22.87,40-45,bad,69.71,46.0
51.01,304.34,129.5,49.64,20.81,20-25,bad,71.19,86.4
41.55,199.5,75.91,13.07,36.77,10-15,ok,69.81,53.97
49.08,297.81,65.48,19.54,35.16,40-45,ok,46.97,44.73
47.26,275.09,85.48,12.26,30.58,25-30,ok,53.75,63.58
12.27,266.71,125.25,53.0,8.48,45-50,bad,74.53,64.46
42.58,324.23,111.32,57.53,20.38,30-35,bad,47.85,78.82
52.25,276.91,90.68,5.74,21.43,35-40,ok,82.96,44.46
38.52,241.0,103.31,9.56,20.04,40-45,ok,54.28,47.37
35.18,339.02,130.21,81.87,2.88,25-30,bad,66.8,58.08
47.09,232.56,81.51,8.45,33.44,45-50,ok,34.81,94.51
39.36,277.12,133.85,31.58,1.99,40-45,bad,90.91,28.99
44.94,313.05,113.32,12.93,20.17,30-35,ok,57.81,55.44
54.25,223.18,96.62,33.79,26.0,20-25,ok,72.17,61.25
69.09,286.0,81.47,9.33,28.95,35-40,ok,75.38,67.38
22.23,356.48,52.96,15.66,23.71,35-40,ok,74.37,87.85
58.59,300.9,95.08,24.05,19.01,35-40,ok,62.45,88.5
25.72,317.56,76.88,39.86,9.31,10-15,bad,59.01,68.31
38.13,280.83,103.88,58.29,14.13,20-25,bad,58.07,30.24
44.31,322.31,96.21,9.66,19.67,20-25,ok,63.82,45.77
35.27,248.97,107.0,45.51,1.14,15-20,bad,41.12,74.65
47.37,212.64,103.84,19.96,18.54,40-45,ok,63.53,54.86
25.89,307.62,121.41,59.58,11.08,15-20,bad,47.15,51.27
60.89,289.78,63.26,20.72,12.95,15-20,ok,60.22,67.12
23.99,300.97,69.17,36.36,31.68,30-35,ok,64.59,79.34
40.2,334.76,82.09,12.52,26.88,30-35,ok,73.42,49.35
36.87,342.46,94.91,29.96,24.63,40-45,ok,70.64,15.62
46.44,314.59,80.23,25.68,27.6,25-30,ok,50.47,43.12
35.06,286.45,92.81,44.72,9.19,15-20,bad,70.5,80.8
59.91,239.16,101.18,27.57,27.74,20-25,ok,59.83,14.16
40.25,242.3,69.47,27.76,22.71,10-15,ok,33.41,71.81
35.31,430.03,89.39,23.39,25.73,35-40,ok,56.35,68.91
63.47,253.03,65.01,0.0,23.75,35-40,ok,43.0,43.25
47.65,269.11,65.25,21.1,35.12,35-40,ok,28.56,35.3
3.44,298.36,107.13,54.44,25.07,40-45,bad,73.18,41.95
45.08,203.72,76.05,9.86,32.26,45-50,ok,50.08,42.29
50.24,302.14,80.09,30.6,25.69,20-25,ok,56.24,100.0
54.95,304.06,165.18,46.39,12.89,25-30,bad,96.5,38.93
32.69,315.95,157.01,59.66,16.9,40-45,bad,85.23,70.71
37.32,295.68,93.58,13.24,22.89,10-15,ok,52.43,49.13
32.6,363.5,136.98,58.46,16.12,35-40,bad,87.39,15.53
56.08,297.7,50.0,37.19,31.08,30-35,ok,52.48,89.63
35.41,288.9,111.32,36.68,33.66,15-20,bad,64.44,39.83
48.76,293.17,33.67,11.17,24.13,40-45,ok,67.97,82.36
58.73,382.32,110.11,57.53,16.01,35-40,bad,49.65,81.22
40.27,204.42,133.35,42.51,18.74,10-15,bad,88.76,35.01
75.24,246.71,64.42,32.88,4.51,30-35,ok,79.68,77.04
28.46,315.59,107.25,52.17,3.39,15-20,bad,77.91,78.97
41.77,338.7,101.46,30.46,33.76,45-50,ok,90.52,50.87
54.7,295.39,54.36,22.22,25.74,45-50,ok,56.15,54.78
75.36,293.85,62.96,14.8,39.19,25-30,ok,68.47,50.52
25.63,349.38,78.55,25.21,23.41,15-20,ok,79.18,53.36
38.95,387.49,110.7,45.01,7.44,10-15,bad,80.05,65.25
45.78,250.38,77.05,23.65,27.63,30-35,ok,70.21,42.86
42.3,369.71,82.4,18.41,20.94,15-20,ok,80.44,34.47
60.89,404.67,99.84,27.82,28.82,45-50,ok,59.36,71.71
28.96,284.04,135.73,49.24,18.85,20-25,bad,77.92,54.98
52.67,163.42,79.53,23.91,26.46,45-50,ok,47.81,57.32
31.02,261.31,109.52,61.25,13.13,30-35,bad,60.04,57.59
64.28,215.36,111.75,15.16,14.54,35-40,ok,77.39,52.77
57.98,276.12,39.92,27.73,37.69,40-45,ok,50.83,53.99
61.92,257.43,91.02,24.94,29.55,10-15,ok,56.97,27.72
49.29,214.38,59.11,31.61,30.63,10-15,ok,41.94,52.05
37.32,201.03,119.21,76.7,9.95,10-15,bad,51.8,55.17
48.0,335.13,98.02,25.97,9.02,40-45,ok,34.16,31.64
15.47,209.78,131.69,37.86,10.42,10-15,bad,70.97,63.64
43.15,214.98,127.65,34.11,24.76,10-15,ok,70.46,19.32
43.89,307.93,88.55,29.49,27.02,40-45,ok,73.21,64.08
31.11,314.44,69.68,29.68,17.91,15-20,ok,67.45,46.45
66.42,325.7,128.64,21.15,36.36,30-35,ok,49.59,100.0
39.84,398.51,65.9,15.8,38.08,40-45,ok,55.98,30.68
55.25,298.91,109.04,21.92,21.01,45-50,ok,61.87,48.09
45.74,317.15,103.62,61.83,0.0,35-40,bad,69.49,33.72
62.48,351.64,62.89,19.71,24.83,35-40,ok,57.62,76.27
59.28,248.18,101.26,33.76,14.31,30-35,ok,55.26,21.84
76.25,214.25,66.17,6.78,28.06,20-25,ok,73.47,62.5
11.84,241.38,117.14,57.5,16.51,20-25,bad,66.32,26.15
36.85,245.82,73.02,13.67,34.34,40-45,ok,32.42,13.85
26.76,342.35,105.77,76.31,7.4,30-35,bad,62.58,40.07
60.02,268.47,77.54,31.61,28.96,15-20,ok,54.28,71.52
8.31,175.12,145.5,58.14,19.69,25-30,bad,64.81,70.61
39.7,209.52,71.23,26.03,29.47,45-50,ok,73.52,54.84
39.24,360.85,81.33,41.05,12.47,20-25,bad,41.82,51.35
75.95,228.18,48.7,24.49,31.01,10-15,ok,58.43,24.64
63.72,331.21,108.96,32.5,21.56,10-15,ok,85.16,55.22
44.22,314.03,67.08,31.26,32.3,20-25,ok,57.49,26.43
40.74,367.2,74.62,48.77,36.65,10-15,bad,59.37,91.87
12.56,239.34,52.81,8.47,22.68,10-15,ok,51.3,30.15
43.72,283.71,155.51,38.3,15.84,20-25,bad,61.29,46.46
33.27,259.68,90.41,51.19,14.89,20-25,ok,52.09,55.27
47.52,332.48,109.75,65.43,3.91,10-15,bad,77.16,49.64
43.97,247.3,130.61,65.85,11.11,25-30,bad,93.03,38.0
52.82,279.88,86.81,23.66,22.26,45-50,ok,70.35,72.29
79.11,365.37,60.32,33.91,31.7,15-20,ok,44.88,69.7
46.9,292.15,88.7,17.4,21.16,15-20,ok,70.94,76.11
23.92,267.65,121.57,41.25,28.54,15-20,bad,79.57,57.38
45.8,318.67,77.29,18.1,25.37,30-35,ok,77.67,82.49
18.57,269.83,80.29,31.8,47.27,10-15,ok,59.56,39.54
12.08,329.16,114.57,62.48,11.52,25-30,bad,57.22,43.88
68.66,235.92,54.51,32.76,22.84,40-45,ok,62.95,77.44
35.55,347.54,80.21,18.14,34.74,35-40,ok,42.41,37.58
58.0,294.2,59.2,11.95,35.96,45-50,ok,81.83,59.08
5.07,210.33,109.41,52.95,17.44,15-20,bad,65.0,53.41
20.72,325.65,148.13,35.68,18.8,35-40,bad,62.92,77.58
24.6,230.88,176.82,74.36,21.57,35-40,bad,61.73,42.19
51.24,217.43,78.98,42.61,30.73,25-30,ok,100.0,53.42
25.27,329.53,80.52,25.91,23.71,45-50,ok,86.54,74.32
54.2,261.65,114.45,72.0,10.63,15-20,bad,79.6,61.84
23.71,292.88,65.39,22.4,12.98,20-25,ok,71.03,43.96
48.4,327.81,76.31,11.3,25.45,30-35,ok,68.92,47.89
48.31,223.41,110.04,36.95,0.08,15-20,bad,43.84,48.6
38.56,252.73,111.01,51.32,9.44,20-25,bad,52.95,70.53
25.96,215.32,67.75,28.95,6.33,20-25,ok,18.81,42.11
40.11,349.95,70.43,22.67,21.78,45-50,ok,45.02,44.25
62.46,244.39,56.75,30.73,30.55,30-35,ok,59.97,68.86
12.1,199.57,146.02,53.81,24.09,40-45,bad,66.45,71.2
43.07,293.73,73.51,28.69,27.85,40-45,ok,54.27,23.98
48.2,280.64,116.59,26.1,19.22,30-35,bad,82.7,86.05
42.69,314.9,62.65,34.6,29.86,30-35,ok,70.65,71.14
48.46,379.71,159.29,50.71,7.86,25-30,bad,62.79,19.33
20.14,263.03,149.19,61.37,22.02,45-50,bad,66.26,80.7
54.87,298.07,81.66,7.42,10.09,15-20,ok,56.22,54.32
55.77,383.24,98.49,19.97,33.43,30-35,ok,89.51,42.74
58.76,200.39,31.53,29.82,25.88,35-40,ok,56.67,87.6
48.81,319.64,69.41,15.31,21.7,35-40,ok,56.79,74.41
38.61,408.77,76.32,18.61,27.13,25-30,ok,84.64,45.07
40.13,325.27,133.69,67.86,9.76,25-30,bad,78.83,43.64
28.76,357.34,94.64,18.5,38.27,35-40,ok,68.3,100.0
74.04,300.34,54.43,15.18,27.18,45-50,ok,62.53,76.28
22.29,342.32,77.21,72.64,16.16,15-20,bad,81.8,35.38
51.67,369.83,42.27,16.77,28.05,10-15,ok,66.86,62.45
58.4,373.66,115.56,37.93,22.63,10-15,ok,100.0,50.71
63.13,230.8,44.39,27.57,27.01,35-40,ok,49.82,53.31
63.42,248.5,48.67,13.1,21.03,35-40,ok,67.36,67.17
42.59,266.76,73.84,36.45,18.44,25-30,ok,44.51,60.53
46.07,227.53,68.88,21.26,8.28,20-25,ok,62.57,77.88
76.55,266.22,69.95,31.76,22.7,30-35,ok,54.89,70.33
61.45,256.76,54.06,29.83,20.82,10-15,ok,51.93,73.56
16.04,210.2,145.02,70.01,1.16,45-50,bad,59.62,50.29
45.17,275.39,59.85,36.52,30.49,35-40,ok,59.45,41.51
34.04,310.51,61.37,36.92,24.4,35-40,ok,63.61,51.72
73.87,174.05,80.75,14.9,27.21,10-15,ok,60.63,74.62
19.97,253.58,109.95,47.55,25.39,25-30,bad,74.76,55.94
64.52,286.07,81.53,10.07,20.69,30-35,ok,31.93,89.66
30.88,243.53,78.71,18.91,32.47,30-35,ok,65.83,84.29
66.13,281.63,101.03,29.77,42.25,35-40,ok,97.66,74.35
80.98,288.64,74.56,25.5,26.13,45-50,ok,64.81,56.2
59.19,403.22,107.62,11.72,27.52,45-50,ok,62.47,36.8
42.39,316.63,75.13,9.85,22.61,25-30,ok,68.55,54.44
40.39,217.03,131.27,38.66,9.37,10-15,bad,79.7,71.64
63.31,395.6,59.42,19.03,23.74,10-15,ok,75.95,18.31
54.09,260.53,58.1,32.27,22.56,20-25,ok,60.31,100.0
57.15,306.75,85.76,21.73,27.71,20-25,ok,43.72,71.5
85.9,256.15,102.7,21.06,35.2,40-45,ok,95.07,100.0
2.11,382.54,93.97,43.24,16.7,35-40,bad,69.03,29.47
39.02,253.18,50.39,36.45,23.53,15-20,bad,60.31,83.3
17.55,269.9,101.42,43.84,4.58,25-30,bad,57.32,28.34
32.58,236.11,97.85,7.53,17.22,10-15,ok,58.98,32.28
